Date,Adj Close
05/09/1958,44.09
05/12/1958,43.75
05/13/1958,43.62
05/14/1958,43.12
05/15/1958,43.34
05/16/1958,43.36
05/19/1958,43.24
05/20/1958,43.61
05/21/1958,43.55
05/22/1958,43.78
05/23/1958,43.87
05/26/1958,43.85
05/27/1958,43.79
05/28/1958,43.85
05/29/1958,44.09
06/02/1958,44.31
06/03/1958,44.46
06/04/1958,44.5
06/05/1958,44.55
06/06/1958,44.64
06/09/1958,44.57
06/10/1958,44.48
06/11/1958,44.49
06/12/1958,44.75
06/13/1958,45.02
06/16/1958,45.18
06/17/1958,44.94
06/18/1958,45.34
06/19/1958,44.61
06/20/1958,44.85
06/23/1958,44.69
06/24/1958,44.52
06/25/1958,44.63
06/26/1958,44.84
06/27/1958,44.9
06/30/1958,45.24
07/01/1958,45.28
07/02/1958,45.32
07/03/1958,45.47
07/07/1958,45.62
07/08/1958,45.4
07/09/1958,45.25
07/10/1958,45.42
07/11/1958,45.72
07/14/1958,45.14
07/15/1958,45.11
07/16/1958,45.25
07/17/1958,45.55
07/18/1958,45.77
07/21/1958,46.33
07/22/1958,46.41
07/23/1958,46.4
07/24/1958,46.65
07/25/1958,46.97
07/28/1958,47.15
07/29/1958,46.96
07/30/1958,47.09
07/31/1958,47.19
08/01/1958,47.49
08/04/1958,47.94
08/05/1958,47.75
08/06/1958,47.46
08/07/1958,47.77
08/08/1958,48.05
08/11/1958,48.16
08/12/1958,47.73
08/13/1958,47.81
08/14/1958,47.91
08/15/1958,47.5
08/18/1958,47.22
08/19/1958,47.3
08/20/1958,47.32
08/21/1958,47.63
08/22/1958,47.73
08/25/1958,47.74
08/26/1958,47.9
08/27/1958,47.91
08/28/1958,47.66
08/29/1958,47.75
09/02/1958,48
09/03/1958,48.18
09/04/1958,48.1
09/05/1958,47.97
09/08/1958,48.13
09/09/1958,48.46
09/10/1958,48.31
09/11/1958,48.64
09/12/1958,48.53
09/15/1958,48.96
09/16/1958,49.35
09/17/1958,49.35
09/18/1958,49.38
09/19/1958,49.4
09/22/1958,49.2
09/23/1958,49.56
09/24/1958,49.78
09/25/1958,49.57
09/26/1958,49.66
09/29/1958,49.87
09/30/1958,50.06
10/01/1958,49.98
10/02/1958,50.17
10/03/1958,50.37
10/06/1958,51.07
10/07/1958,51.07
10/08/1958,51.06
10/09/1958,51.05
10/10/1958,51.39
10/13/1958,51.62
10/14/1958,51.26
10/15/1958,50.58
10/16/1958,50.94
10/17/1958,51.46
10/20/1958,51.27
10/21/1958,51.27
10/22/1958,51.07
10/23/1958,50.97
10/24/1958,50.81
10/27/1958,50.42
10/28/1958,50.58
10/29/1958,51.07
10/30/1958,51.27
10/31/1958,51.33
11/03/1958,51.56
11/05/1958,52.03
11/06/1958,52.45
11/07/1958,52.26
11/10/1958,52.57
11/11/1958,52.98
11/12/1958,53.05
11/13/1958,52.83
11/14/1958,53.09
11/17/1958,53.24
11/18/1958,53.13
11/19/1958,53.2
11/20/1958,53.21
11/21/1958,52.7
11/24/1958,52.03
11/25/1958,51.02
11/26/1958,51.9
11/28/1958,52.48
12/01/1958,52.69
12/02/1958,52.46
12/03/1958,52.53
12/04/1958,52.55
12/05/1958,52.46
12/08/1958,52.46
12/09/1958,52.82
12/10/1958,53.46
12/11/1958,53.35
12/12/1958,53.22
12/15/1958,53.37
12/16/1958,53.57
12/17/1958,53.92
12/18/1958,54.15
12/19/1958,54.07
12/22/1958,53.71
12/23/1958,53.42
12/24/1958,54.11
12/29/1958,54.74
12/30/1958,54.93
12/31/1958,55.21
01/02/1959,55.44
01/05/1959,55.66
01/06/1959,55.59
01/07/1959,54.89
01/08/1959,55.4
01/09/1959,55.77
01/12/1959,55.78
01/13/1959,55.47
01/14/1959,55.62
01/15/1959,55.83
01/16/1959,55.81
01/19/1959,55.68
01/20/1959,55.72
01/21/1959,56.04
01/22/1959,55.97
01/23/1959,56
01/26/1959,55.77
01/27/1959,55.78
01/28/1959,55.16
01/29/1959,55.2
01/30/1959,55.45
02/02/1959,55.21
02/03/1959,55.28
02/04/1959,55.06
02/05/1959,54.81
02/06/1959,54.37
02/09/1959,53.58
02/10/1959,54.32
02/11/1959,54.35
02/12/1959,54
02/13/1959,54.42
02/16/1959,54.5
02/17/1959,54.29
02/18/1959,54.3
02/19/1959,55.5
02/20/1959,55.52
02/24/1959,55.48
02/25/1959,55.24
02/26/1959,55.34
02/27/1959,55.41
03/02/1959,55.73
03/03/1959,56.25
03/04/1959,56.35
03/05/1959,56.43
03/06/1959,56.21
03/09/1959,56.15
03/10/1959,56.31
03/11/1959,56.35
03/12/1959,56.6
03/13/1959,56.67
03/16/1959,56.06
03/17/1959,56.52
03/18/1959,56.39
03/19/1959,56.34
03/20/1959,56.39
03/23/1959,55.87
03/24/1959,55.96
03/25/1959,55.88
03/26/1959,55.76
03/30/1959,55.45
03/31/1959,55.44
04/01/1959,55.69
04/02/1959,56
04/03/1959,56.44
04/06/1959,56.6
04/07/1959,56.48
04/08/1959,56.21
04/09/1959,56.17
04/10/1959,56.22
04/13/1959,56.43
04/14/1959,56.71
04/15/1959,56.96
04/16/1959,57.43
04/17/1959,57.92
04/20/1959,58.17
04/21/1959,58.11
04/22/1959,57.73
04/23/1959,57.6
04/24/1959,57.96
04/27/1959,58.14
04/28/1959,57.92
04/29/1959,57.69
04/30/1959,57.59
05/01/1959,57.65
05/04/1959,57.65
05/05/1959,57.75
05/06/1959,57.61
05/07/1959,56.88
05/08/1959,57.32
05/11/1959,57.96
05/12/1959,57.96
05/13/1959,57.97
05/14/1959,58.37
05/15/1959,58.16
05/18/1959,58.15
05/19/1959,58.32
05/20/1959,58.09
05/21/1959,58.14
05/22/1959,58.33
05/25/1959,58.18
05/26/1959,58.09
05/27/1959,58.19
05/28/1959,58.39
05/29/1959,58.68
06/01/1959,58.63
06/02/1959,58.23
06/03/1959,58.25
06/04/1959,57.63
06/05/1959,57.51
06/08/1959,56.76
06/09/1959,56.36
06/10/1959,57.19
06/11/1959,57.25
06/12/1959,57.29
06/15/1959,56.99
06/16/1959,56.56
06/17/1959,57.09
06/18/1959,57.05
06/19/1959,57.13
06/22/1959,57.13
06/23/1959,57.12
06/24/1959,57.41
06/25/1959,57.73
06/26/1959,57.98
06/29/1959,58.37
06/30/1959,58.47
07/01/1959,58.97
07/02/1959,59.28
07/06/1959,59.65
07/07/1959,60.01
07/08/1959,60.03
07/09/1959,59.97
07/10/1959,59.91
07/13/1959,59.41
07/14/1959,59.55
07/15/1959,59.59
07/16/1959,59.41
07/17/1959,59.19
07/20/1959,58.91
07/21/1959,59.41
07/22/1959,59.61
07/23/1959,59.67
07/24/1959,59.65
07/27/1959,60.02
07/28/1959,60.32
07/29/1959,60.62
07/30/1959,60.5
07/31/1959,60.51
08/03/1959,60.71
08/04/1959,60.61
08/05/1959,60.3
08/06/1959,60.24
08/07/1959,59.87
08/10/1959,58.62
08/11/1959,59.39
08/12/1959,59.25
08/13/1959,59.15
08/14/1959,59.29
08/17/1959,59.17
08/18/1959,58.62
08/19/1959,58.27
08/20/1959,59.14
08/21/1959,59.08
08/24/1959,58.87
08/25/1959,58.99
08/26/1959,59.07
08/27/1959,59.58
08/28/1959,59.6
08/31/1959,59.6
09/01/1959,58.87
09/02/1959,58.92
09/03/1959,58.26
09/04/1959,58.54
09/08/1959,57.7
09/09/1959,57.29
09/10/1959,56.99
09/11/1959,57.41
09/14/1959,56.99
09/15/1959,56.68
09/16/1959,56.72
09/17/1959,56.41
09/18/1959,56.19
09/21/1959,55.27
09/22/1959,55.14
09/23/1959,55.82
09/24/1959,56.78
09/25/1959,56.73
09/28/1959,57.15
09/29/1959,57.51
09/30/1959,56.88
10/01/1959,56.94
10/02/1959,57.2
10/05/1959,57.14
10/06/1959,57.09
10/07/1959,56.94
10/08/1959,56.81
10/09/1959,57
10/12/1959,57.32
10/13/1959,57.16
10/14/1959,56.71
10/15/1959,56.87
10/16/1959,57.33
10/19/1959,57.01
10/20/1959,56.66
10/21/1959,56.55
10/22/1959,56
10/23/1959,56.56
10/26/1959,56.94
10/27/1959,57.42
10/28/1959,57.46
10/29/1959,57.41
10/30/1959,57.52
11/02/1959,57.41
11/04/1959,57.26
11/05/1959,57.32
11/06/1959,57.6
11/09/1959,57.5
11/10/1959,57.48
11/11/1959,57.49
11/12/1959,57.17
11/13/1959,56.85
11/16/1959,56.22
11/17/1959,56.38
11/18/1959,56.99
11/19/1959,56.94
11/20/1959,56.97
11/23/1959,57.08
11/24/1959,57.35
11/25/1959,57.44
11/27/1959,57.7
11/30/1959,58.28
12/01/1959,58.7
12/02/1959,58.6
12/03/1959,58.73
12/04/1959,58.85
12/07/1959,58.96
12/08/1959,59.34
12/09/1959,58.97
12/10/1959,59.02
12/11/1959,58.88
12/14/1959,59.04
12/15/1959,58.9
12/16/1959,58.97
12/17/1959,58.86
12/18/1959,59.14
12/21/1959,59.21
12/22/1959,59.14
12/23/1959,58.96
12/24/1959,59
12/28/1959,58.98
12/29/1959,59.3
12/30/1959,59.77
12/31/1959,59.89
01/04/1960,59.91
01/05/1960,60.39
01/06/1960,60.13
01/07/1960,59.69
01/08/1960,59.5
01/11/1960,58.77
01/12/1960,58.41
01/13/1960,58.08
01/14/1960,58.4
01/15/1960,58.38
01/18/1960,57.89
01/19/1960,57.27
01/20/1960,57.07
01/21/1960,57.21
01/22/1960,57.38
01/25/1960,56.78
01/26/1960,56.86
01/27/1960,56.72
01/28/1960,56.13
01/29/1960,55.61
02/01/1960,55.96
02/02/1960,56.82
02/03/1960,56.32
02/04/1960,56.27
02/05/1960,55.98
02/08/1960,55.32
02/09/1960,55.84
02/10/1960,55.49
02/11/1960,55.18
02/12/1960,55.46
02/15/1960,55.17
02/16/1960,54.73
02/17/1960,55.03
02/18/1960,55.8
02/19/1960,56.24
02/23/1960,55.94
02/24/1960,55.74
02/25/1960,55.93
02/26/1960,56.16
02/29/1960,56.12
